Elapsed Time (s),IMU Heading (deg from N),Latitude (+/- = North/South),Longitude (+/- = East/West),GPS Heading (deg from N),Speed (m/s),Current Waypoint Number,Current Waypoint Latitude (+/- = North/South),Current Waypoint Longitude (+/- = East/West),Distance to Waypoint (m),Bearing to Waypoint (deg),Needed Course Correction (deg),"Turn Direction (-1 Left, 0 Straight, 1 Right)",Control Action from PID
9.97999882698059,243.3062587434415,29.734844207763672,-91.20603942871094,nan,0.0,0,29.736170560000001,-91.206207500000005,148.42033516546209,353.72096599245634,110.41470724901484,1,100.0
10.076356887817383,244.88333249924483,29.734844207763672,-91.20603942871094,nan,0.0,0,29.736170560000001,-91.206207500000005,148.42033516546209,353.72096599245634,108.83763349321151,1,100.0
10.22847580909729,247.01945818780678,29.734825134277344,-91.20603942871094,167.75211918054652,1.7606033973846582,0,29.736170560000001,-91.206207500000005,150.52929999324471,353.80928489231832,106.78982670451154,1,100.0
10.329677820205688,247.68530942431744,29.734825134277344,-91.20603942871094,167.75211918054652,1.7606033973846582,0,29.736170560000001,-91.206207500000005,150.52929999324471,353.80928489231832,106.12397546800088,1,100.0
10.419651985168457,249.05924438983527,29.734825134277344,-91.20603942871094,167.75211918054652,1.7606033973846582,0,29.736170560000001,-91.206207500000005,150.52929999324471,353.80928489231832,104.75004050248305,1,100.0
10.536877870559692,251.16746084211294,29.734825134277344,-91.20603942871094,167.75211918054652,1.7606033973846582,0,29.736170560000001,-91.206207500000005,150.52929999324471,353.80928489231832,102.64182405020537,1,100.0
10.632153987884521,252.10911454187345,29.734825134277344,-91.20603942871094,167.75211918054652,1.7606033973846582,0,29.736170560000001,-91.206207500000005,150.52929999324471,353.80928489231832,101.70017035044486,1,100.0
10.736032009124756,254.12231356828198,29.734825134277344,-91.20603942871094,167.75211918054652,1.7606033973846582,0,29.736170560000001,-91.206207500000005,150.52929999324471,353.80928489231832,99.686971324036335,1,100.0
10.821484804153442,254.97930733337856,29.734825134277344,-91.20603942871094,167.75211918054652,1.7606033973846582,0,29.736170560000001,-91.206207500000005,150.52929999324471,353.80928489231832,98.82997755893976,1,100.0
10.98700499534607,257.03035303981267,29.734825134277344,-91.20603942871094,167.75211918054652,1.7606033973846582,0,29.736170560000001,-91.206207500000005,150.52929999324471,353.80928489231832,96.77893185250565,1,100.0
11.090108871459961,258.82819277438813,29.734825134277344,-91.20603942871094,167.75211918054652,1.7606033973846582,0,29.736170560000001,-91.206207500000005,150.52929999324471,353.80928489231832,94.981092117930189,1,100.0
11.186769962310791,259.56961253076906,29.734817504882812,-91.20604705810547,nan,0.0,0,29.736170560000001,-91.206207500000005,151.29576792070338,354.12136797675612,94.551755445987055,1,100.0
11.287940979003906,262.3620922007654,29.734817504882812,-91.20604705810547,nan,0.0,0,29.736170560000001,-91.206207500000005,151.29576792070338,354.12136797675612,91.759275775990716,1,100.0
11.390430927276611,262.74372692202905,29.734817504882812,-91.20604705810547,nan,0.0,0,29.736170560000001,-91.206207500000005,151.29576792070338,354.12136797675612,91.377641054727064,1,100.0
11.495832920074463,264.92039213998544,29.734817504882812,-91.20604705810547,nan,0.0,0,29.736170560000001,-91.206207500000005,151.29576792070338,354.12136797675612,89.200975836770681,1,100.0
11.591261863708496,265.78176592195183,29.734817504882812,-91.20604705810547,nan,0.0,0,29.736170560000001,-91.206207500000005,151.29576792070338,354.12136797675612,88.339602054804288,1,100.0
11.69527792930603,267.38953820020942,29.734817504882812,-91.20604705810547,nan,0.0,0,29.736170560000001,-91.206207500000005,151.29576792070338,354.12136797675612,86.731829776546704,1,100.0
11.842903852462769,268.66859466611828,29.734817504882812,-91.20604705810547,nan,0.0,0,29.736170560000001,-91.206207500000005,151.29576792070338,354.12136797675612,85.452773310637838,1,100.0
11.945302963256836,271.27618004366741,29.734817504882812,-91.20604705810547,nan,0.0,0,29.736170560000001,-91.206207500000005,151.29576792070338,354.12136797675612,82.84518793308871,1,100.0
12.04980993270874,272.27330798080209,29.734817504882812,-91.20604705810547,nan,0.0,0,29.736170560000001,-91.206207500000005,151.29576792070338,354.12136797675612,81.848059995954031,1,100.0
12.135733842849731,273.62835563532764,29.734817504882812,-91.20604705810547,nan,0.0,0,29.736170560000001,-91.206207500000005,151.29576792070338,354.12136797675612,80.493012341428482,1,100.0
12.247214794158936,275.28941410659718,29.73481559753418,-91.20604705810547,nan,0.0,0,29.736170560000001,-91.206207500000005,151.50681028413968,354.12958535514321,78.840171248546028,1,100.0
12.347945928573608,276.98105740682979,29.73481559753418,-91.20604705810547,nan,0.0,0,29.736170560000001,-91.206207500000005,151.50681028413968,354.12958535514321,77.148527948313415,1,100.0
12.454424858093262,279.01419457849397,29.73481559753418,-91.20604705810547,nan,0.0,0,29.736170560000001,-91.206207500000005,151.50681028413968,354.12958535514321,75.115390776649235,1,100.0
12.550004005432129,279.71422289208334,29.73481559753418,-91.20604705810547,nan,0.0,0,29.736170560000001,-91.206207500000005,151.50681028413968,354.12958535514321,74.415362463059864,1,100.0
12.702477931976318,282.22091933193042,29.73481559753418,-91.20604705810547,nan,0.0,0,29.736170560000001,-91.206207500000005,151.50681028413968,354.12958535514321,73.134180363686312,1,100.0
12.802347898483276,282.98629738156217,29.73481559753418,-91.20604705810547,nan,0.0,0,29.736170560000001,-91.206207500000005,151.50681028413968,354.12958535514321,71.143287973581039,1,100.0
12.904186010360718,285.00417060493766,29.73481559753418,-91.20604705810547,nan,0.0,0,29.736170560000001,-91.206207500000005,151.50681028413968,354.12958535514321,69.12541475020555,1,100.0
13.008996963500977,285.97111444642286,29.73481559753418,-91.20604705810547,nan,0.0,0,29.736170560000001,-91.206207500000005,151.50681028413968,354.12958535514321,68.158470908720346,1,100.0
13.095088005065918,288.12186024790134,29.73481559753418,-91.20604705810547,nan,0.0,0,29.736170560000001,-91.206207500000005,151.50681028413968,354.12958535514321,66.007725107241868,1,100.0
13.205123901367188,289.88592374714915,29.734817504882812,-91.20606994628906,253.93842729559816,1.0527832896826463,0,29.736170560000001,-91.206207500000005,151.08535596951438,354.95531281406886,65.069389066919712,1,100.0
13.307269811630249,291.10047038705761,29.734817504882812,-91.20606994628906,253.93842729559816,1.0527832896826463,0,29.736170560000001,-91.206207500000005,151.08535596951438,354.95531281406886,63.854842427011249,1,100.0
13.407837867736816,293.28471904119749,29.734817504882812,-91.20606994628906,253.93842729559816,1.0527832896826463,0,29.736170560000001,-91.206207500000005,151.08535596951438,354.95531281406886,61.670593772871371,1,100.0
13.508373022079468,294.27027325930948,29.734817504882812,-91.20606994628906,253.93842729559816,1.0527832896826463,0,29.736170560000001,-91.206207500000005,151.08535596951438,354.95531281406886,60.685039554759385,1,100.0
13.660707950592041,297.10134546332199,29.734817504882812,-91.20606994628906,253.93842729559816,1.0527832896826463,0,29.736170560000001,-91.206207500000005,151.08535596951438,354.95531281406886,57.853967350746871,1,100.0
13.76495885848999,298.67962705715064,29.734817504882812,-91.20606994628906,253.93842729559816,1.0527832896826463,0,29.736170560000001,-91.206207500000005,151.08535596951438,354.95531281406886,56.275685756918222,1,100.0
13.861423969268799,300.80144597613685,29.734817504882812,-91.20606994628906,253.93842729559816,1.0527832896826463,0,29.736170560000001,-91.206207500000005,151.08535596951438,354.95531281406886,54.153866837932014,1,100.0
13.962397813796997,303.33274123987911,29.734817504882812,-91.20606994628906,253.93842729559816,1.0527832896826463,0,29.736170560000001,-91.206207500000005,151.08535596951438,354.95531281406886,51.622571574189749,1,100.0
14.064822912216187,303.53290865029641,29.734817504882812,-91.20606994628906,253.93842729559816,1.0527832896826463,0,29.736170560000001,-91.206207500000005,151.08535596951438,354.95531281406886,51.422404163772455,1,100.0
14.166337966918945,305.51898422672804,29.734819412231445,-91.2060775756836,nan,0.0,0,29.736170560000001,-91.206207500000005,150.81091810850785,355.22709181496413,49.708107588236089,1,100.0
14.266924858093262,308.45185044269527,29.734819412231445,-91.2060775756836,nan,0.0,0,29.736170560000001,-91.206207500000005,150.81091810850785,355.22709181496413,46.775241372268852,1,100.0
14.37174391746521,308.99398255593451,29.734819412231445,-91.2060775756836,nan,0.0,0,29.736170560000001,-91.206207500000005,150.81091810850785,355.22709181496413,46.233109259029618,1,100.0
14.523409843444824,311.66444876326761,29.734819412231445,-91.2060775756836,nan,0.0,0,29.736170560000001,-91.206207500000005,150.81091810850785,355.22709181496413,43.562643051696512,1,100.0
